model,agent,query,description,expected_tools,actual_tools,match,success,attempts,error_type,error
gemini-2.0-flash,fundamental,Analyze the financial health of 1155.KL,Direct ticker - financial health analysis,"finance_report_pull, rag_analysis","finance_report_pull, rag_analysis",EXACT,True,1,,
gemini-2.0-flash,fundamental,What are the fundamentals of 1023.KL?,Direct ticker - general fundamentals,"finance_report_pull, rag_analysis","finance_report_pull, rag_analysis",EXACT,True,1,,
gemini-2.0-flash,fundamental,Review the financial statements of 5819.KL,Direct ticker - financial statements,"finance_report_pull, rag_analysis","finance_report_pull, rag_analysis",EXACT,True,1,,
gemini-2.0-flash,fundamental,Analyze the financial health of Maybank,Company name - requires ticker resolution,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,What is the profitability of CIMB Group?,Company name - profitability focus,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Evaluate Public Bank's balance sheet,Company name - balance sheet focus,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,How is Tenaga Nasional's cash flow?,Company name - cash flow focus,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Assess the debt levels of Petronas Gas,Company name - debt analysis,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,What is the ROE of Hong Leong Bank?,Specific metric - ROE,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Calculate the current ratio for IHH Healthcare,Specific metric - current ratio,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,What are the profit margins of Press Metal?,Specific metric - profit margins,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Should I invest in Gamuda based on financials?,Investment recommendation based on fundamentals,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Is RHB Bank financially stable?,Financial stability assessment,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Evaluate the growth potential of Sunway based on fundamentals,Growth potential from fundamentals,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Analyze YTL Corporation's revenue trends,Revenue trend analysis,"finance_report_pull, rag_analysis, resolve_ticker_symbol",,ERROR,False,1,OTHER_ERROR,The resolution lifetime expired after 21.610 seconds: Server Do53:192.168.100.1@53 answered The DNS operation timed out.; Server Do53:150.205.1.2@53 answered The DNS operation timed out.; Server Do53:
gemini-2.0-flash,fundamental,What are the key financial risks for Axiata?,Financial risk identification,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,Review MISC Berhad's quarterly performance,Quarterly performance review,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,fundamental,How has Nestle Malaysia's earnings changed?,Earnings change analysis,"finance_report_pull, rag_analysis, resolve_ticker_symbol","finance_report_pull, rag_analysis, resolve_ticker_symbol",EXACT,True,1,,
gemini-2.0-flash,sentiment,What is the market sentiment for 1155.KL?,Direct ticker - general sentiment,"get_article_sentiment, get_recent_articles","get_article_sentiment, get_recent_articles",EXACT,True,1,,
gemini-2.0-flash,sentiment,Analyze the news sentiment of 1023.KL,Direct ticker - news sentiment,"get_article_sentiment, get_recent_articles","get_article_sentiment, get_recent_articles",EXACT,True,1,,
